Original,Translate,Translate_GPT_1
Vie men del fatto mio sì mi dottai.,Ich fühlte mich weniger besorgt wegen meiner Situation.,Ich fühlte mich weniger ängstlich wegen meines Zustandes.
"Amor trovai,   che mi diè gran conforto","Ich fand Liebe, die mir großen Trost gab","Ich fand Affekt, der mich sehr erleichterte."
"Co•l’oste sua, e molto m’allegrai","Mit seiner Gastfreundschaft, und ich freue mich sehr","Mit seinem Empfang, und ich freute mich sehr"
"Che ciascun v’era, no•vi trarria corto.","Dass jeder da war, werde ich euch nicht kurz halten.","Dass jeder da war, werde ich euch nicht verkürzen."
"Com’i’ v’ò detto, a tutto lor podere","Wie ich euch gesagt habe, auf ihren ganzen Hof","Wie ich schon sagte, auf ihr ganzes Eigentum"
Lo Dio d’Amor et la sua Baronia,Gott der Liebe und seine Baronie,Gottheit von Affekt und sein Gut
"Presti eran tutti a far senn’e follia,","Bald waren sie bereit, verrückt zu werden.","Bald waren sie bereit, verrückt zu werden."
Per aconpiérmi tutto ’l mio volere.,Um meinen Willen zu erfüllen.,Um meinen Willen zu verwirklichen.
Allor pensai s’i’ potesse vedere,"Dann dachte ich, ich könnte es sehen.","Dann dachte ich, ich könnte es beobachten."
Dolze-Riguardo per cosa che sia:,Dolze-Betrachtung für alles.,Süß-Was alles angeht.
"Inmantenente Amor a me lo ’nvia,","Liebe schickte es mir sofort,",Instinktiv schickte er es mir.
Di che mi fecie molto gran piaciere.,Dass ich mich sehr gefreut habe.,Das hat mich sehr gefreut.
"E que’ sì mi mostrò Bellacoglienza,","Und sie zeigte mir Schönheit,","Sie erwies mir Höflichkeit, Freundlichkeit und Freundlichkeit."
"Che ’nmantenente venne a salutarmi,","Dass er sofort kam, um mich zu begrüßen","Dass er schnell kam, um mich zu begrüßen"
E sì mi fecie grande proferenza;,Und ich freute mich sehr;,Er machte mich glücklich.
E po’ sì cominciò a merziarmi,"Und dann fing er an, sich zu freuen","Dann fing er an, sich zu freuen"
"Delle mie gioie, di ch’ell’avea voglenza","Von meinen Freuden, die er sich wünschte,","Von meinem Glück, das er sich gewünscht hatte,"
Di quel presente ancor guiderdonarmi.,Er wollte mich immer noch für die Gegenwart entschädigen.,Er wollte mich immer noch für das Geschenk belohnen.
"I’ le dissi: «Madonna, grazie rendo","Ich sagte zu ihr: ""Frau Ma'am, vielen Dank","""Ich sagte zu ihr: ""Frau, vielen Dank."""
"A voi, quando prender le degniaste,","Euch, für die Zeit, in der ihr euch erwischt habt,","Für Sie, wenn Sie erworben haben,"
Ché tanto forte me ne consolaste,Warum habt ihr mich so getröstet?,Warum ihr mich so sehr getröstet habt
C’a pena mai magior gioia atendo;,Dass ich kaum auf eine größere Freude warte;,Dass ich gerade ein größeres Glück hoffe;
"E, s’i’ l’ò mai, da voi aver l’atendo.","Und wenn ich es jemals habe, werde ich auf Sie warten.","Und wenn ich es jemals bekomme, werde ich es von Ihnen erwarten."
"Sì c’a me piacie se ciò, che pigliaste,","So dass ich es mag, wenn das, was Sie genommen haben,","So dass es mich zufriedenstellt, wenn Sie das, was Sie erworben haben."
"O la persona mia ancora ingagiaste,","Oder ihr habt euch immer noch mit mir beschäftigt,",Ihr habt euch mit mir verabredet.
"O la vendeste, mai non vi contendo».","Oder ihr habt ihn verkauft, ich werde euch nicht widerstehen.""","Oder Sie haben ihn nachgegeben, ich wehre mich nicht."
Quella mi disse: «Molto gran merzede.,"Sie sagte zu mir: ""Vielen Dank.","Sie sagte zu mir: ""Enorme Anerkennung."""
"Di me, vi dico, fate ’l somigliante","Von mir, sage ich euch, tut, was es verdient","Von mir, sage ich Ihnen, tun Sie, was es passt"
"C’a bene e a onore i’ v’amo, a•ffede».","Dass ich euch liebe mit Zuneigung und Ehre.""",Ich liebe euch mit Zärtlichkeit und Respekt.
Delle sue cose i’ non fu’ rifusante;,"Ich widerstrebte seinen Dingen nicht,",Ich zögerte nicht bei seinen Sachen.
"Ma spesso falla ciò, che ’l folle crede:","Aber oft passiert, was der Verrückte glaubt:","Manchmal passiert, was der Verrückte glaubt."
Così avenne al buon di ser Durante.,So geschah es mit dem guten Ser Langen.,Auf diese Weise erfüllte er sich für den guten Ser Langen.
"Quand’i’ vidi l’oferta, che faciea,","Als ich das Angebot sah, das er machte,","Als ich das Angebot sah, das er bot,"
Del fatto mi’ credett’eser ciertano:,"Ich dachte, ich wäre mir sicher.","von der Überzeugung, dass ich mir sicher war"
"Allor sì volli al Fior porre la mano,",Dann wollte er Fiore die Hand reichen.,"Dann beschloss man, Fiore zu helfen."
Che molto ringrossato   mi parea.,Das schien mir sehr vergrößert.,Dass es mir unglaublich übertrieben erschien.
Lo Schifo sopra me forte correa,Der Schleim rannte stark über mich,Der Dreckskerl stürzte auf mich
"Diciendo: «Trat’adietro, mal villano,","Mit den Worten: ""Zurück, böse,","Er rief aus: ""Zurück!, böse,"
"Che•sse m’aiuti Idio e san Giermano,","Mögen mir Gott und der hl. Germanus helfen,",Mögen sie mir Gott und dem heiligen Germanus beistehen.
"I’ non son or quel, ch’i’ esser solea.",Ich bin nicht mehr der Einzige.,"Ich bin nicht mehr das, was ich früher war."
E ’l Diavol sì ti ci à ora menato:,Und der Teufel hat dich jetzt hergebracht:,Und der Teufel hat dich jetzt hergebracht.
"Se mi trovasti a l’altra volta lento,","Wenn du mich das letzte Mal langsam fandest,","Wenn du mich das letzte Mal für zaghaft hältst,"
Or  sie ciertan   ch’i’ ti parrò canbiato.,"Jetzt musst du sicher sein, dass ich anders mit dir reden werde.","Jetzt bist du absolut überzeugt, dass ich dich verwandeln werde."
Me’ ti varria che fossi a Benivento!».,"Es wäre besser für dich gewesen, wenn du in Benevento wärst!""","Es wäre besser für dich gewesen, wenn du in Benevento wärst!"
"Allora ’l capezal m’ebe pigliato,",Da ergriff mich der Boss.,Dann nahm er mich für den Boss.
E domandò chi era mi’ guarento.,"Und er fragte, wer mein Bürge sei.","Er fragte, wer mein Beschützer war."
"Po’ sentì ’l fatto Vergognia e Paura,","Dann hörte ich die Tatsache Schande und Angst,",Später spürte ich Reue und Angst.
"Quand’ell’udiron quel villan gridare,","Als sie hörten, wie dieser Schreier schreite,","Als sie diesen bösen Mann schreien hörten,"
"Ciascuna sì vi corse a•llui aitare,","Jedes Rennen, um ihm zu helfen,","Jede rannte, um ihm zu helfen."
E quello Schifo molto s’assicura.,Und dieser Schleim hat sich stark gemacht.,Und diese Abstoßung nahm stark zu.
"Idio e tutti i santi ciaschun giura,","Gott und alle Heiligen schwören,","Gott und alle Heiligen schwören,"
Ched ele ’l mi faranno conperare:,Die mich büßen lassen:,Sie werden mich bereuen.
Allor ciascun mi cominciò a buttare;,"Da fing jeder an, mich zu mißhandeln.","Da fing jeder an, mich schlecht zu behandeln."
Molto mi fecier dispett’e ladura;,Sie machten mich sehr ärgerlich und schmerzhaft;,Sie brachten mir viele Gesichter und Leiden.
"E’ disson ch’i’ avea troppo fallato,","Sie sagten, dass ich zu falsch war,","Sie behaupteten, ich habe zu viele Fehler gemacht."
"Po’ che Bellacoglienza, per su’ onore,","Denn Schönheit zu seiner Ehre,","Denn Schönheit, durch ihre Verehrung,"
"E lei e ’l suo m’avea abandonato,","Und sie und ihr verließen mich,",Sie und ihr Junge haben mich zurückgelassen.
Ched i’ pensava d’inbolarle il Fiore.,"Weil ich dachte, ich würde die Blume täuschen.","Weil ich dachte, ich betrüge die Blume."
"Dritt’era, ch’i’ ne fosse gastigato,","Es war richtig, dass du bestraft wurdest.","Es war passend, dass ich bestraft wurde."
Sì ch’i’ ne stesse ma’ senpre in dolore.,So dass ich immer Schmerzen hatte.,So blieb ich ewig betrübt.
Allor Bellacoglienza fu fermata,Dann wurde Bellacoglienza aufgehalten.,Dann wurde Bellacoglienza verhaftet.
"Da questi tre portier’ sotto tre porte,",Von diesen drei Wachen unter drei Türen,Von diesen drei Wachen unter drei Türen
E’ con una catena molto forte,Mit einer sehr starken Kette,Mit einer robusten Kette
Quella gientil ebero ’ncatenata.,Diese nette Frau wurde angekettet.,Dieses Wohlwollen wurde eingesperrt.
"Po’ corser sopra me, quella brigata,",Dann rannten diese Bande über mich.,Da goß die Pöbel über mich.
E disson: «Sopra te cadran le sorte».,"Und sie sagten: ""Auf dich wird das Los fallen.""","Und sie sagten: ""Dein Glück wird beschlossen werden."""
"Allor credetti ben riciever morte,","Dann dachte ich, ich würde sterben.","Dann dachte ich, ich komme dem Ende entgegen."
Tanto faciean di me gran malmenata:,Sie haben mich sowieso verärgert.,Sie haben mich sowieso verarscht.
Sì ch’i’ misericordia domandai,Also bat ich um Barmherzigkeit.,Also flehte ich um Gnade.
"A Paura, a Vergognia, e a quel crudele,","In Furcht, Schande und diesem grausamen,","Auf Angst, peinlich, und auf den Unbarmherzigen."
Ma i•nessuna guisa la trovai.,Aber ich fand sie nirgendwo.,Unter keinen Umständen erkannte ich sie.
Ciascun sì m’era più amar che fele;,Jeder war bitterer als Fielen;,Jeder war sauerer als Gift.
Per molte volte «Merzé!» lor gridai:,"Viele Male sagte ich zu ihnen: ""Gnädige Barmherzigkeit!""","Unzählige Male ""Freude!"" schrie ich sie an."
Que’ mi diciean: «Per niente bele».,"Sie sagten: ""Ganz und gar nicht gut.""","Sie sagten: ""Absolut hässlich."""
"Come costor m’andavar tormentando,","Während sie mich quälten,","Während sie mich quälten,"
"E l’oste al Die d’Amor si fu sentita,",Der Wirt Gottes der Liebe wurde gehört,Die Bitte Gottes der Liebe wurde gehört.
E’ sì cogniobor ch’i’ avea infralita,"Und so wussten sie, dass ich gebrochen hatte.","Also fanden sie heraus, dass ich verletzt war."
La bocie: inmantenente miser bando,Der Eid: Sie befehligten sofort,Der Eid: Sofort befehligten sie
Che ciascun si vada apparechiando,Jeder soll sich vorbereiten.,Dass sich jeder erlernen würde
"A me socorere a canpar la vita,","Um mir zu helfen, mein Leben zu kaufen,","Um mich zu retten, um meine Existenz zu erwerben."
"Ch’ella sarebe in poco d’or fallita,",Dass sie in kurzer Zeit verloren sein würde,Dass sie in kurzer Zeit verloren wäre.
Sed e’ no•mi veniser confortando.,Wenn ich nicht getröstet worden wäre.,Wenn mir keine Erleichterung angeboten worden wäre.
"Quando   i portir’ sentiron quel baratto,","Als die Wachen einen Tausch hörten,","Als die Wachen eintauschen hörten,"
Inmantenente tra lor si giuraro,Und sogleich schwuren sie unter ihnen.,Instinktiv versprachen sie sich
"Di non renderla a forza, né a patto;",Er soll sie weder mit Gewalt noch durch den Bund zurückgeben;,Sie darf weder durch Gewalt noch durch den Deal wieder aufgenommen werden.
E que’ di fuor ancor sì si legaro,Und die Außenstehenden banden sich auch miteinander.,Die Außenleute schlossen sich ihnen an.
"Di non partirsi, s’e’ non fosse fatto,","Sich nicht zu trennen, wenn es nicht geschehen ist,","Nicht teilen, wenn nicht nötig."
E di questo tra•llor si fidanzaro.,Und davon verlobten sie sich.,Und dazu erklärten sie sich verlobt.
Francheza si venne primiera mente,Franchezza war zuerst entschlossen,Sorglos kam er zuerst fest an.
"Contra lo Schifo, ch’è molto oltragioso,","Gegen den Schleim, der sehr empörend ist,","Gegen die schreckliche, die extrem beleidigend ist."
"E per senbianti fiero e coragioso,","Und um stolz und mutig zu sein,",Um stolz und furchtlos zu sein.
Ma quella venne molto humile mente.,Aber sie kam sehr demütig.,Aber das kam mit großer Demut.
"Lo Schifo sì ponea tropo ben mente,","Der Mist stand zu gut,",Der Abscheu benahm sich zu gütig.
"Ché ’n ben guardar era molto invioso,","Er war sehr neidisch darauf, gut zu gucken,","Er war sehr eifersüchtig, aufmerksam zu beobachten."
Che quella non potesse di nascoso,Dass sie nicht heimlich sein könnte.,Dass sie nicht im Verborgenen sein könnte.
Entrar dentr’a la porta con sua giente.,Mit seinen Leuten in die Tür eindringen.,Mit seinem Stamm in die Schwelle zu stecken.
"Francheza mise mano ad una lancia,","Franceza legte seine Hand an seinen Speer,",Die Franzose griff ihren Speer.
"Sì s’aperse per dare a quel cagnione,","Und er öffnete sich, um diesem Hund zu geben,","Er öffnete sich, um dem Hund zu gewähren,"
E crudel mente   contra lui la lancia.,"und den Speer grausam gegen ihn,",und brutal die Lanze gegen ihn.
"Lo Schifo si avea in mano un gran bastone,","Der Mist hatte einen großen Stock in der Hand,",Der Mist hat einen großen Stock gehalten.
"E co•lo scudo il colpo sì•llo schiancia,",Und mit dem Schild musste der Schlag fallen.,"Und mit dem Schild brach der Schlag ab, und mit der Verteidigung wurde der Schlag abgelenkt."
"E fiede a•llei, e falla gir boccone.","Und er verletzte sie, indem er sie zum Bissen brachte.","Sie wurde erschossen, indem sie sie wie ein Trottel drehte."
"La lancia a pezi a pezi à dispezata,",Der Speer wurde Stück für Stück zerstört.,Der Speer wurde durch Fragmente zerlegt.
"E’ po’ avisa un colpo ismisurato,","Aber dann kam ein riesengroßer Schlag,",Plötzlich kam ein schrecklicher Schlag.
Sì che tutto lo scudo à squartellato:,Und der ganze Schild wurde zerrissen:,Der ganze Schild wurde zerrissen.
"Francheza si è in terra rovesciata,",Francheza ist gestürzt.,"Franchezza ist umgedreht, gekippt."
"E que’ de’ colpi fa gran dimenata,","Und die Wunde machte ein großes Geräusch,",Und die Verletzung machte einen großen Lärm.
"E la bella «Merzé!» gli à domandato,","Und die schöne Merze! fragte ihn,","Und der wunderschöne Merze! Er hat ihn verhört,"
Sì ch’a Pietà ne prese gran peccato:,"Solange er in Pietà eine große Sünde nahm,",Bis er in Pietà eine große Schuld aufnahm.
Verso il villan sì•ss’è adirizata,Auf dem Weg zum Dorf wurde sie wütend,Auf den Bösen ist sie wütend geworden.
"E con uno spuntone lo gì pungiendo,",Und mit einem Stachel hat er ihn gestochen.,Und mit einer Spitze hat er ihn durchbohrt.
"E di lagrime tuttora il bagniava,","Und er hat immer noch Tränen getrunken,",Er weinte immer noch.
"Sì che ’l villan si venia rendendo,",Solange der Dorfbewohner lachte,Bis der Böse kam und kicherte.
C’aviso gl’iera ched egli afogava.,"Seit er gedacht hat, zu ertrinken.",Seit er Angst hatte zu ertrinken.
"Allor Vergognia vi venne corendo,",Da kam Scham und lief.,Da kam Schande und kam eilends.
Perché lo Schifo «Socorso!» gridava.,Weil der Idiot Hilfe schrie!,Weil der Dreckskerl die Notaufnahme schrie!
"Vergognia si venne contra Pietade,","Schande widersetzte sich der Frömmigkeit,",Reue widerfuhr Mitleid.
E molto forte mente la minaccia;,Und er bedrohte sie mit großer Kraft;,Und er bedrohte sie mit großer Kraft;
"E quella, che dottava sua minaccia,","Und sie, die wusste, wie man auf Drohungen reagiert,","Ella, die erfahren war, wie sie auf Einschüchterungen reagierte."
"Sì s’aparechia a mostrar  sua bontade,","Er bereitete sich darauf vor, seine Güte zu zeigen,","Er bereitete sich darauf vor, seine Freundlichkeit zu beweisen."
Ché ben conoscie sua diversitade.,Weil er die Vielfalt gut kannte,Da er über die Sorte gut informiert war
"Vergognia a una spada la man caccia,","Schande ergriff er das Schwert mit einer Hand,",Reue ergriff das Schwert mit einer Hand.
Sì disse: «I’ vo’ ben che ciaschedun saccia,"Und er sagte: ""Ich will, daß jeder weiß,","""Und er sagte: ""Ich will, dass alle Bescheid wissen."""
Ched i’ te pagherò di tue derate!».,"Dass ich dich für deinen Fehler bezahle.""",Dass ich dich für deinen Fehler entschädige.
"Allora alza la spada a•llei fedire,","Und er hob das Schwert auf, daß er sie schlug,","Dann hob er die Klinge hoch, um sie anzugreifen."
"Ma Diletto si venne a•llei atare,","Aber Liebling griff ein, um sie zu beschützen,","Aber Liebling hielt für sie ein, um sie zu retten."
"E di suo scudo la sepe coprire,","Und mit seinem Schild bedeckte er sie,",Und mit seiner Rüstung verteidigen Sie sie.
E poi si torna per lei vendicare.,"Und dann kam sie zurück, um sich an ihr zu rächen.","Dann kehrte er zurück, um sie wieder zu besiegen."
Ma Vergognia sapea sì lo schermire,"Aber Scham konnte sich gut verteidigen,",Aber Scham war gut vorbereitet.
Che que’ no•lla potea magagniare.,So konnte sie ihr nichts antun.,Auf diese Weise konnte sie nichts dagegen tun.
"Vergognia mise allor man a la spada,","Da schämte er sich und legte seine Hand an das Schwert,","Demütigung ergriff die Klinge,"
E sì se ne vien dritta ver’ Diletto.,Und er ging direkt nach Divoro.,Und er ging direkt zum Vergnügen.
"Inmantenente lo scudo ebe al petto,","Und alsbald hatte der Schild auf seiner Brust,",Sofort setzte sich der Schild auf die Brust.
"E disse: «Come vuole andar, sì vada,","Und er sagte: ""Geh, wie es gehen soll,","Und er sagte: ""Geh, wie er will,"
"Chéd i’ te pur farò votar la strada,","Aber ich bringe ihn dazu, seinen Weg zu bereuen.","Aber ich bringe ihn dazu, seine Entscheidung zu bereuen."
O tu farai di piana terra letto!».,"Oder ich werde dich auf dem Boden liegen lassen.""",Ich mach dich fertig.
"Allor lo fie’ co•molto gran dispetto,","Dann schlug er ihn mit großer Wut,","Da schlug er ihn mit großem Grimm,"
"Come colei, c’a uciderlo bada:","Wie die, die ihn töten wollte.","Wie der, der ihn beseitigen wollte"
"Sì che l’uccide giù tutto stenduto,","Er tötete ihn dort, wo er sich hinstreckte.",Er ließ ihn dort liegen.
E sì li avrebe fesso insino a’ denti.,Und er hätte ihm bis an die Zähne wehtun können.,Er hätte ihm bis zum Knochen wehtun können.
"Ma quando Ben-Cielar l’ebe veduto,","Aber als Ben-Cielar ihn sah,","Als Ben-Cielar es sah,"
"Perciò ch’egli eran distretti parenti,","Weil sie enge Verwandte waren,","Denn sie waren blutsverwandt,"
Inmantenente sì gli fecie aiuto.,Sofort halfen sie ihm.,Er bot ihm sofort Hilfe an.
Vergognia disse: «I’ vi farò dolenti!».,"Schande sagte er: ""Ich werde euch leiden lassen!""","Schande sagte er: ""Ich werde euch Qual bringen!"""
"Molt’era buon guerrier, quel Buon-Cielare,",Er war ein sehr guter Krieger.,"Er war ein tapferer Kämpfer, der Generoso-Cielare."
"Alzò la spada, e sì fiede Vergognia:",Er hob das Schwert auf und schlug die Schande.,"Er hob die Klinge hoch, und er hielt einen Schlag gegen die Unehrlichkeit."
"Sì gran colpo, ched ella tutta ingrogna,","Der Schlag war so stark, dass sie ganz verknallt ist,","Der Schlag war so mächtig, dass sie ganz angestarrt ist."
E poco ne fallì d’a•tterra andare.,Und er ließ sie fast auf den Boden fallen.,Sie stürzte sie fast in den Boden.
"E’ poi la cominciò a predicare,","Dann fing er an zu predigen,",Er begann zu verkündigen.
E disse: «Tu non temi aver vergogna,"Und er sagte: ""Du fürchtest dich nicht zu schämen,","Und er sagte: ""Du hast keine Angst, peinlich zu sein,"
"Di me, chéd e’ nonn-à, di qui a Bolognia,","von mir, weil er nicht da ist, von hier nach Bologna,","von mir, weil er nicht da ist, von hier nach Bologna,"
"Nessun, c’un fatto saccia me’ cielare","Niemand, der von meinem Himmel weiß,","Niemand, der von meinem Projekt wusste."
"Che saprò io, e perciò porto i’ ’l nome».","Dass ich weiß, und darum trage ich den Namen","Ich kenne mich selbst, und deshalb nenne ich mich weise."
Vergogna   sì non sepe allor che dire.,"Die Schande wusste nicht, was sie sagen sollte.","Die Schande wusste nicht, was sie ausdrücken sollte."
"Paura lo sgridò: «Cugina, come","Die Angst tadelte sie: ""Kumpel, wie","Die Schrecken tadelte sie: ""Kommt her, wie"
À’ tu perduto tutto tuo ardire?,Hast du deinen Mut verloren?,Hast du deine ganze Kühnheit verloren?
"Or vegh’i’ ben che vita tropp’ò durome,","Jetzt sehe ich, dass das Leben zu hart ist.","Jetzt stelle ich fest, dass das Leben zu schwierig ist."
Quando tu ài paura di morire».,"Wenn du Angst hast zu sterben.""",Wenn du Angst hast zu sterben.
"A la sua spada mise man Paura,","Die Angst legte seine Hand an sein Schwert,","Die Angst raubte ihre Klinge,"
"Per soccorer Vergogna, sua vicina.","Um der Schande zu helfen, ihrer Nachbarin.","Um das Unglück zu lindern, Ihre Gefährtin."
"A Ben-Cielar diè per sì grande aina,","Ben Cielar erlitt so eine große Wunde,",Ben Cielar litt an einer so schweren Verletzung.
Ched e’ fu de la vita inn-aventura.,Das war das Ende seines Lebens.,Das bedeutete das Ende seiner Existenz.
Contra lei battaglia poco dura:,Ein wenig hart Der Kampf gegen sie:,Kurz ist Der Kampf gegen sie.
Ardimento s’occorse a la miccina,"Der Mut half der Kleinen,",Der Wert half ihr.
"Con una spada molto chiara e fina,","Mit einem sehr klaren und feinen Schwert,","Mit einer hellen, dünnen Klinge."
E sì•lle fecie molto gran paura.,Und sie machte ihr große Angst.,Und es bereitete ihr große Sorge.
"Ma tuttavia Paura   si conforta,","Aber dennoch brach die Angst,",Doch die Angst entspannte sich.
"E prese cuore in far sua difensione,","Und er nahm Mut, sich zu verteidigen,","Er nahm Freimut, um sich zu schützen."
E disse c’ameria me’ d’esser morta,"Und er sagte, er würde es vorziehen, tot zu sein.","Er sagte, es wäre besser gewesen, wenn sie gestorben wäre."
C’Ardimento le tolga sua ragione.,Anstatt den Verstand zu verlieren.,Anstatt seine Klarheit zu zerstreuen.
"Allora in testa gli diè tal iscorta,","Dann gab er einen so starken Schlag,","Dann gab er einen kräftigen, mächtigen Schlag."
Ched ella ’l mise giù in terra boccone.,Dass er sie auf den Boden stürzte wie ein Pazion.,Dass er sie wie eine Masse auf den Boden stürzte.
Quando Sicurtà vide c’Ardimento,"Als Sicherheit sah, dass Mut","Als die Wache bemerkte, dass Audacia"
"Contra Paura avea tutto perduto,","Gegen Angst hatte er alles verloren,",Gegen die Erschütterung hatte er alles verloren.
"Sì corse là per dargli il su’ aiuto,","Er beeilte sich, ihm zu helfen,","Er eilte, um ihm seine Unterstützung zu geben,"
E cominciò il su’ torniamento.,Und seine Bekehrung begann.,Er begann seine Verwandlung.
Ma contra lei non ebe duramento.,Aber gegen sie hatte er keinen Widerstand.,Aber gegen sie war er nicht widerstandsfähig.
"Paura quello stormo ebe vincuto,","Angst hatte diese Übertragung gewonnen,",Schrecken triumphierte über den Vogel.
"E anche un altro, s’e’ vi fosse essuto,","Und noch eins, wenn es da gewesen wäre,",Selbst wenn es einen anderen gab.
Ma Sicurtà si ebe acorgimento:,Aber Sicherheit erkannte:,Aber Sicherheit machte sich bewusst
Ispada e scudo gittò tosto in terra,Er warf das Schwert und den Schild zur Erde.,Und er schleuderte das Schwert und den Schild zur Erde.
"E mantenente, con anbo le mani,","Und er hielt mit beiden Händen,",Er übte mit beiden Händen einen Arm aus.
A le tenpie a Paura sì s’aferra.,Er schnappte sich die Schläfe der Angst.,Er griff die Wangen des Lernens an.
"E gli altri, ch’eran tutti lassi e vani,","Und die anderen, die alle schwach und nutzlos waren,","Die anderen, die alle verbannt und unbedeutend waren."
Ciascun si levò suso e sì s’aferra,Und ein jeglicher stand auf und ergriff sich.,Und jeder stand auf und eroberte ihn.
"A quella zuffa, com’e’ fosser cani.","Diesen Schlamassel, als wären es Hunde.","Bei diesem Streit, als wären es Wölfe."
"Molto durò tra•llor quella battaglia,",Dieser Kampf dauerte lange.,Er hielt an diesem Kampf fest.
Che ciascun roba e carni vi si straccia.,Dass jeder Kleidung und Fleisch riss.,Dass jeder Kleidung und Fleisch wanderte.
L’un l’altro abatte per forza di braccia.,Der eine stürzte den anderen mit Armen ab.,Der eine überwältigte den anderen mit Muskelkraft.
"Non fu veduta mai tal trapresaglia,",Eine solche Grausamkeit wurde noch nie gesehen.,Eine solche Grausamkeit wurde nie beobachtet.
Ché que’ d’entro facien troppo gran taglia,Weil die Leute da drin zu groß waren.,Weil die Leute im Inneren zu zahlreich waren.
Di que’ di fuor. Amor allor procaccia,"Dann sucht Liebe nach denen, die draußen sind.",Von den Außenstehenden.
Che tra lor una trieva sì si faccia,Möge Friede zwischen ihnen sein.,Dass zwischen ihnen ein Vermittlungsverfahren zustande kommt
"Di venti dì, o di più, che me’ vaglia;","Für zwanzig Tage oder mehr, die mich interessieren;","Für zwanzig Tage oder länger, die mich interessieren;"
"Ch’e’ vede ben che mai quella forteza,","Weil Sie sehen, dass diese Kraft","Weil er klar erkennt, dass diese Macht"
"Se•lla madre non v’è, non prenderebe.","Wenn die Mutter nicht da ist, würde sie es nicht nehmen.","Wenn der Vorläufer nicht anwesend ist, würde er nicht nehmen"
Allor la manda a chieder per Francheza.,"Dann schickt er sie, um für Francheza zu plaudern.","Dann schickt er sie, um sie zu fragen."
Contra colei sa ben non si terebe:,"Gegen sie weiß er, dass er nicht widerstehen würde:",Gegen sie wäre er hilflos.
"Ché, s’ella il su’ brandon ver’ lor adreza,","Denn wenn sie ihr Schwert auf sie richtet,","Denn wenn sie ihre Klinge auf sie einreißt,"
Imantenente tutti gli arderebe.,Er würde sie sofort alle verbrennen.,Instinktiv würde er sie alle in Brand setzen.
"Francheza sì s’è de l’oste partita,",Francheza hat sich von der Herberge entfernt.,Franchezza hat sich von der Herberge entfernt.
E Amor sì•ll’à ben incaricato,Und Liebe hat ihn beauftragt.,Die Liebe hat ihr den Auftrag gegeben.
"Ch’e’•lli dica, a la madre, ogne su’ stato:",Sagen Sie der Mutter jeden Zustand:,"Sie sagen der Muttergottes alles, was Sie empfinden."
"Com’egli è a gran rischio de la vita,",wie er in großer Gefahr des Lebens ist,wie er in großer Todesgefahr ist
E che sua forza è molto infiebolita;,"und seine Kraft ist sehr geschwächt,","und seine Kraft wird sehr gemildert,"
Ch’ella faccia che per lei si’ aiutato.,"dass Sie dafür sorgen, dass er Ihnen hilft.","Stellen Sie sicher, dass er für Sie da ist."
"Allor Francheza sì à cavalcato,",Da ritt Francheza zu Pferd.,Dann stieg Francheza aufs Pferd.
"E dritto a Ciecierono sì se n’è ita,","Und sie ging geradeaus nach Ciecierano,",Sie ging geradeaus nach Cicierano.
Credendo che vi fosse ca’ diessa.,"In der Überzeugung, dass es ein Haus der Göttin gab,","In dem Glauben, dass es eine Wohnstätte der Göttlichkeit,"
"Ma el’era ita   in boscho per cacciare,","aber sie ging in den Wald, um zu jagen;","Aber sie ging in den Wald, um zu jagen."
Sì che Francheza n’andò dritt’a essa.,Also ging Francheza direkt zu ihr.,Also ging Francheza direkt zu ihr.
"Sott’una quercia la trovò ombreare,",Er fand sie unter einer Eiche und ruhte sich aus.,Er entdeckte sie unter einer Eiche und entspannte sich.
"Quella sì tosto in ginochie s’è messa,",Sie kniete sofort auf die Knie.,Die warf sich sofort nieder
E dolzemente l’ebe a salutare:,Und sie begrüßte sie sanft und sagte:,Er begrüßte sie freundlich.
"«Molte salute, madonna, v’aporto","Meine Dame, ich grüße Sie.","Meine Souveränin, ich sende Ihnen meine herzlichsten Grüße."
Dal vostro figluolo; e’ priegavi per Dio,"von Ihrem Sohn, und beten Sie für Gott,","Von Ihrem Sohn, und flehen für Gott."
"Che ’l socoriate, od egli è in punto rio,","daß ihr ihn helft, oder er ist in einer schwierigen Zeit,","Ihr helft ihm, oder er befindet sich in einer schwierigen Situation."
Ché Gielosia   gli fa troppo gran torto;,Denn Eifersucht tut ihm zu viel Unrecht;,Weil Neid ihm eine schwere Ungerechtigkeit antut.
Ch’e’ nonn-à guar ched e’ fu quasi morto,"Er hat nicht geheilt, seit er fast getötet wurde.","Er hat sich nicht erholt, seit er fast ermordet wurde."
"In una battaglia, nella qual fu’ io.","In einem Kampf, in dem ich auch war.","in einer Streitfrage, in der ich auch anwesend war."
"Ancor si par ben nel visagio mio,","Sie sehen immer noch sehr gut in meinem Gesicht,","Sie sieht deutlich in meinem Gesicht,"
Che molto mi vi fu strett’ed atorto».,dass ich sehr eng und schlecht behandelt wurde.,dass ich sehr bedrängt und missbraucht wurde.
"Allor Venusso fu molto crucciata,","Da war Venus sehr wütend,","Da war Venus sehr wütend,"
E disse ben che•lla forteza fia,"Und er sagte, dass die Kraft sein wird.","mit ihmUnd er erklärte, dass die Macht mit ihm sein würde."
Molto tosto per lei tutta ’nbraciata;,Sehr bald für sie ganz umarmt;,"Bald, für Sie, ist alles voll."
