Original,Translate,Translate_GPT_1
Che molto gli è anoiato star rinchiuso.,C'est très ennuyeux d'être enfermé.,qu'il est très monotone d'être confiné.
"Posi la guarnacha, e la gonella,","Mettez votre veste et votre jupe,",Il porte une chemise et une robe.
Diciendo ch’ell’   è tanto stata giuso,Elle a dit qu'elle était si déprimée.,En disant que vous étiez très déprimé.
"Per lo marito, ch’era nella   ciella.","Pour son mari, qui était en cellule.","Pour son conjoint, qui était en prison."
Ne•letto su’ si metta in braccio   in braccio,Il se met dans les bras de l'autre.,Il s'embrasse avec l'autre.
"Co•llui insiem’, e faccian lor diporto;",Et qu'ils s'amusent ensemble;,Ils apprécient leur joie;
"Ma dica tuttor: “Lassa, crudel torto","Mais dites toujours: ""Laissez-moi, cruel tort,","""Laissez tomber, cruelle injustice,"
"È questo, che ’nverso il mi’ sire faccio”.","Je me dirige vers mon seigneur.""",Je rends hommage à mon souverain.
"E nella gioia, c’à, gli metta inpaccio,","Et dans la joie qu'il a, qu'il lui embarrasse,","Dans son exultation, tu lui fais honte."
Sì ch’egli abia paura e disconforto:,de sorte qu'il ait peur et le découragement:,pour qu'il ait peur et désespoir.
Dicier li dee ch’e’ sarebe morto,Dites-lui qu'il serait mort.,Vous devez l'informer qu'il serait mort.
"Sanz’averne rispetto, molt’avaccio,","sans respect, très malheureux,","sans égard, extrêmement triste."
"Se•ll’uon sapesse ch’e’ fosse co•llei,","Si quelqu'un savait qu'il était avec elle,","Si quelqu'un savait qu'il était avec elle,"
"E di’: “Lassa, dolente, malaurata,","et dis: ""Laisse-moi, triste et malheureux,","Laisse-moi, triste et désespéré,"
"So che vitiperata   ne sarei,",Je sais que je serais vexée.,Je sais que je suis désolée.
"E ch’i’, per man de’ mie’,   sare’   ismenbrata”.","et que, par les mains de mes parents, je serais détruite.""","et que, par mes parents, je serais anéantie."
"E in questa paura i’ ’l metterei,","Et dans cette peur, je le mettrais,","Dans cette terreur, je le mettrais."
Ché da lui ne sarebe più amata.,Parce qu'elle serait plus aimée de lui.,Parce qu'elle serait plus appréciée par lui.
"Quand’a quel lavorio messi saranno,","Quand ils seront engagés dans ce travail,","Quand ils seront occupés dans cette entreprise,"
"Ben sagia mente degie inoperare,",Des mensonges sages ne devraient pas opérer.,Des mensonges sagaces ne devraient pas agir.
"E l’un atender, e l’altro studiare,","Et l'un attendre, et l'autre étudier,",Attendre et enquêter.
Secondo ch’egli alor si sentiranno;,selon ce qu'ils entendront;,selon ce qu'ils percevront.
Né sì non dé parer lor già affanno,Et ils ne devraient pas avoir l'air fatigués.,Et ils ne devraient pas avoir l'air fatigués.
"Di voler ben a modo mantacare,","D'aimer à la manière de maintenir,","Avoir de l'affection, conserver."
C’amendue insieme degian afinare,Nous devons tous les deux affiner.,Nous devons tous les deux nous affiner.
Lor dilettanza;   e dimorasse un anno!,Leur plaisir; et s'ils restaient pendant un an!,Leur bonheur; et s'ils séjournaient pendant un an!
"E se•lla donna non v’à dilettanza,","Et si la femme n'aime pas,","Si la femme n'est pas intéressée,"
"Sì ’nfinga in tutte guise ch’e’ vi sia,","Des tromperies par tous les moyens,","Astuce, fraude, escroquerie avec tous les artifices possibles."
Sì gline mostri molto gran senbianza:,Montrant beaucoup d'affection;,En exprimant une profonde affection.
"Istringa ’l forte, e basci ’l tuttavia;",Serre fort et embrasse cependant;,Attrape fermement et embrasse quand même.
"Quando l’uom avrà sua dilettanza,","Quand l'homme aura son plaisir,","Quand l'homme aura sa satisfaction,"
Sì paia ch’ella tramortita sia.,Fais comme si tu t'étais évanouie.,Simule un évanouissement.
Se l’uon può tanto far ched ella vada,Si l'homme peut faire en sorte qu'il s'en aille,Si l'homme peut s'assurer que tout va bien
"Al su’ albergo la notte a dormire,","Dormir dans son hôtel la nuit,",Reposez-vous dans votre auberge la nuit.
Si dé alla femina ben sovenire,Rappelez-vous à la femme.,Laissez-la mémoriser.
Ched ella il faccia star un poco a bada.,De le laisser regarder pendant un moment.,Permettre à lui d'observer pendant un temps.
"E que’, che guarderà tuttor la strada,","Et celui qui regardera encore la route,","Celui qui gardera encore le chemin,"
Ciertana sie ch’e’ le parrà morire,Ce sera certainement la peur de mourir.,"L'insécurité, la peur, la peur de périr."
Insin ched e’ no•lla vedrà venire:,Jusqu'à ce qu'il vous voie venir:,Jusqu'à ce qu'elle arrive.
"Ché•ll’amor, c’uom atarda, vie più agrada.","Parce que l'amour, s'il est retardé, préfère.","Parce que l'affection, si elle est différée, préfère."
E quand’ella sarà a l’ostel venuta,"Et quand elle sera arrivée à l'auberge,","Quand vous arriverez à l'hôtel,"
"Sì dica a que’, che•nn’è sì amoroso,","Dites à celui qui est si amoureux,","Informez ceux qui sont si proches,"
Ched ella per su’ amor tropp’è arguta;,"Qui, par son amour, est trop futée;","Qui, par son amour, est trop futée; Sagace"
"Ché ’l su’ marito n’è troppo gieloso,","Que son mari est trop jaloux,",Que son conjoint est trop possessif.
Sì che dubita molto esser battuta:,Au point qu'elle doute d'être battue.,Au point de suspecter d'être vaincue.
Così gli faccia forte il pauroso.,Qu'il fasse fort son effrayant.,Qu'il fasse vigoureux son effrayé.
Se quel gieloso la tien sì fermata,Si ce jaloux l'arrête,Si ce jaloux la retient
"Ch’ella non poss’andar là, ov’ella vuole,","Que je ne puisse pas aller là où elle veut,",Que je ne puisse pas aller là où elle veut.
"Sì gli faccia intendente   che•ssi duole,",Qu'il lui dise qu'il est désolé.,Qu'il sache qu'il l'a regretté.
"D’una sua gotta, che d’averl’è usata:",Pour une goutte qui l'a fait souffrir:,Pour une podagra qui l'a fait souffrir.
"Per ch’e’ convien ch’ella sia   stufata,",C'est pour ça que j'en ai marre.,C'est pourquoi il est recommandé qu'elle soit bouillie.
"Ché colla stufa guerir se ne suole,","Parce qu'avec le poêle il se guérit habituellement,",Parce qu'avec le poêle il se soigne d'habitude.
"Po’ bullirà ramerin, e viuole,","Puis il va bouillir de cuivre, de violettes","Plus tard, il bouillira romarin, violettes"
"E camamilla, e salvia, e fie bagniata.","Et camomille, sauge et sera mouillée.","Et camomille, sauge et sera trempée."
"E ’l gieloso dirà: “Va arditamente,","Et le jaloux dira: ""Vas-y courageusement,","Et le possessif dira: ""Procède courageusement,"
E mena teco buona conpagnia”;,"Et apporte avec toi une bonne compagnie.""",Et emmène une bonne compagnie avec toi.
"Ma molto ne fia   nel su’ cuor dolente,","Mais beaucoup de choses seront dans son cœur douloureux,","Mais beaucoup de choses seront dans son cœur affligé,"
Ma vede ch’e’ desdir no ’l gliel poria.,Mais vous voyez ce que dire non ne peut pas lui faire.,Mais vous voyez que refuser ne le pourrait pas.
"Quella mena conseco alcuna giente,",Elle emmène des gens avec elle.,Elle accompagne quelques personnes.
La qual sapranno ben sua malatia.,Qui connaîtra bien votre maladie.,Qui connaîtra parfaitement sa maladie.
Ancor non dé aver femina credenza,Aucune femme ne croit encore,Aucune femelle n'a encore foi.
"Che nessun huon malia far le potesse,",Que personne ne lui fasse de mal.,Qu'aucun homme ne puisse la blesser.
"Néd ella ancor d’altrui, s’ella potesse","Ni vous à personne d'autre, si vous pouviez,","Ni à personne d'autre, si c'était possible."
C’altri l’amasse   contra sua voglienza.,Que quelqu'un d'autre l'aime contre sa volonté.,Que quelqu'un d'autre l'adore contre sa volonté.
"Medea, in cui fu tanta sapienza,","Médée, dans laquelle il y avait tant de sagesse,","Médée, riche en sagesse."
Non potte far che Giesonò tenesse,Jason ne pouvait pas la garder.,Il ne put que la retenir.
"Per arte nulla, ch’ella gli faciesse,","Avec aucune sorte d'art qu'il lui a fait,",Sans aucune sorte de création qu'il lui produisit.
Sì ch’e’ ’nver’ lei tornasse   la sua ’ntenza.,Pour qu'il revienne vers elle.,Pour que sa volonté revienne à elle.
"Sì non dea nessun don, che guari vaglia,",Ne donnez aucun don valable pour la guérison.,N'offrez aucun cadeau qui soit utile au traitement.
A null’amante tanto l’apregiasse:,À aucun amant qui l'apprécie autant:,À aucun de ceux qui l'apprécient autant.
"Doni borsa, guanciale, o tovaglia,","d'un sac à main, d'une oreillette ou d'une nappe,","Cadeaux, sac, oreiller ou nappe."
"O cinturetta, che poco costasse,","Ou bracelet, qui coûte peu,","Bracelet pas cher, pas cher"
"Covriciefo, o aguglier di bella taglia,","Couvre-tête, ou aiguille de belle taille,","Chapeau, ou broche de grande taille."
"O gumitol di fil, s’egli ’l degniasse.","Ou une pelote de fil, s'il l'aimait.","Un rouleau de corde, s'il l'appréciait."
"Ma ciascun uon, c’avesse in sé ragione,","Mais tout homme qui avait raison,","Chaque individu, qui avait du bon sens,"
"O che del mondo ben savio sarebe,","Ou qu'il était sage dans le monde,","Qu'il était bien sagace dans le monde,"
"Ma’ don’ di femina non prenderebe,",Il ne prendrait pas une femme en cadeau.,Il n'accepterait pas une femme comme cadeau.
"Ch’e’ non son che•llacci di tradigione,","Parce que ce ne sont que des liens de tradition,",Parce que ce ne sont que des liens d'habitude.
"Ché quella, che faciesse donagione,",Parce que celle qui ferait un don,Parce que celle qui ferait un don
"Contra la sua natura pecherebe,","Contre sa nature, il pécherait.","Contre son essence, il transgresserait."
E ’n gran follia ciascun gliele porebe,Et ce serait de la folie qu'il le prenne.,Ce serait une grande imprudence s'il l'acceptait.
Sed ella no ’l faciesse a tradigione.,S'il ne le faisait pas par tradition.,S'il ne le faisait pas habituellement.
"Perciò ciascuna pensi, quando dona,","Donc, chacune pense, quand elle donne,","En conséquence, chacune estime, lorsqu'elle donne,"
"Che doni nella guisa, c’ò parlato,","De donner comme je l'ai dit,","Distribuer, offrir, donner comme je l'ai décrit."
"Sì che, quand’ella avrà passata nona,","Pour que, quand il aura dépassé sa jeunesse,","De sorte que, quand il sera au-delà de la jeunesse,"
Il guardacuor suo sia sì fodrato,Que son cœur soit si protégé,Que son cœur soit si gardé
Ch’ella non cagia a merzé di persona.,Qu'il ne tombe pas au pouvoir en personne.,Qu'il ne soit contrôlé par personne.
E ciò tien tutto al ben aver guardato.,Et tout cela dépend d'une bonne attention.,Et tout cela dépend d'une profonde concentration.
"Al ben guardar fallì’, lassa dolente,","Si la bonne attention échoue, il se laisse triste,","Si l'attention diligente ne réussit pas, on est bouleversé."
"Ché•cciò, c’all’un togliea,   a l’altro donava:","Parce que ce qu'il enlevait à l'un, à l'autre, il donnait:","Parce que ce qu'il dérobait à l'un, à l'autre donnait."
"Come ’l danaio venia, così n’andava,","Comme le danois venait, il partait,","Comme le danois arrivait, il partait."
Non faciea   forza d’aver rimanente.,Il n'avait pas la force d'avoir un reste.,Il n'essayait pas d'obtenir un surplus.
"I’ era di ciascun molto prendente,",J'étais très intéressé par tout le monde.,J'étais très curieux de chacun.
"E tutto quanto a un ribaldo i’ ’l dava,","Et tout ce que j'ai donné à un voleur,",Tout ce que je donnais à un malfaiteur.
"Che “Puttana comune” mi chiamava,","Qui m'appelait ""Puttana comune,""","Il m'appelait ""prostituée ordinaire."""
E mi battea   la schiena ben sovente.,Et il me battait souvent le dos.,Elle me frappait souvent le dos.
"Quest’iera que’, che più mi piaciea,","C'est ce que j'aimais le plus,",C'est ce que je préférais le plus.
"E gli altri “Amici dolci” i’ apellava,","Et les autres, je les appelais ""Amis doux.""","Les autres, je les appelais ""Chers camarades."""
"Ma solamente   a costui ben volea,",Mais c'est tout ce que j'aimais.,Je voulais le meilleur pour ça.
Che molto tosto s’apacificava,"Qui se réconciliait très rapidement,",Il s'est apaisé rapidement.
"Comeco, sì battuta no•m’avea,","Parce que s'il ne m'avait pas battu,","J'aurais gagné, car s'il ne m'avait pas vaincu, j'aurais triomphé."
Ché troppo dolze mente   mi schufiava.,Ça me réconfortait trop doucement.,Ça me consolait avec tendresse.
"S’i’ fosse stata, per l’anima mia,","Si elle avait été, pour mon âme,","Si elle avait été, pour mon âme,"
"Ben savia in giovaneza, e conosiente,","Bien connu dans la jeunesse, et compris,","Bien connue dans la jeunesse, et comprise."
"Ch’i’ era allor sì bella, e sì piaciente,","Qu'elle était si belle à l'époque, et agréable,","Qu'il était alors si séduisant, et agréable."
"Che ’n ognie parte novelle ne gia,",Que toutes les nouvelles de moi arrivaient,"Des nouvelles, des histoires, des récits et des histoires de moi arrivaient."
"I’ sarè’ troppo richa, in fede mia;","Je serais trop riche, je le jure.","Je serais riche, je le promets."
"Ma i’ sì ’l dava tucto a quel dolente,","Mais je l'ai donné à ce malheureux,",Je donnais tout à ce malheureux malheureux.
"C’a ben far   non fu anche conosciente,",Qu'il n'était pas capable de faire le bien,Incapable de pratiquer le bien
Ma tutto dispendea in ribalderia.,Mais tout le monde le dépensait inconsidérément.,Mais tout le dissipait en imprudence.
Né no•gli piaque nulla risparmiare,Il n'aimait pas non plus économiser quoi que ce soit.,Il n'aimait pas économiser quoi que ce soit.
"Ch’e’ tutto no ’l bevesse, e no ’l giucasse,",Que tout ne le boive pas et ne le joue pas,Que tout n'y goûte pas et ne s'amuse pas.
Tant’era tenperato a pur mal fare!,"De toute façon, elle était encline à faire le mal.","De toute façon, il était enclin à commettre le mal."
"Sì c’a la fin convene ch’i’ lasciasse,","Au final, il vaut mieux que je le quitte.","En fin de compte, il était plus avantageux que je l'abandonne."
"Quand’i’ non ebi più, che gli donare:",Quand je n'ai plus rien à donner:,Quand je n'avais plus rien à offrir.
E’ me e sé di gran richeza trasse».,Trouver une grande richesse de moi et de lui-même.,Accumuler une grande abondance de moi-même et de soi-même.
Così à quella Vechia sermonato.,C'est ce qu'a dit la vieille.,C'est ainsi qu'elle a prononcé cette vieille femme.
"Bellacoglienza molto queta è stata,",Bellacoglienza a été très calme,Bellacoglienza était très calme.
"E molto volontier l’à ascoltata,",Et vous l'avez écoutée avec plaisir.,"Et avec plaisir, vous l'avez écoutée."
E molto e’ n’è ’l su’ cuor rasicurato:,Et son cœur est beaucoup plus rassuré,Et son cœur est beaucoup plus calme
"Sì ch’e’ seria legier a far mercato,","Ainsi, il serait facile de faire des affaires",De telle sorte qu'il serait facile de conclure des accords.
"Se Gielosia non vi fosse trovata,","S'il n'y avait pas de jalousie,","S'il n'y avait pas d'envie,"
"E ’ tre portier’, che fanno gran veghiata,","Et les trois portiers qui font une grande vigilance,",Les trois gardiens qui exercent une surveillance étroite.
Ché ciascun dotta d’eser barattato.,Parce que tout le monde sait comment échanger.,Parce que tout le monde sait comment négocier.
"Di Mala-Bocca, che già era   morto,","Pour Malabocca, qui était déjà mort","Pour Malabocca, qui était déjà mort"
"Nessun di lor non faciea mala ciera,",Aucun d'eux n'a fait une mauvaise expression.,Aucun d'eux n'a fait preuve d'une expression négative.
"Ché, chi l’amasse, sì faria gran torto:",Parce que celui qui l'aime ferait un grand tort,Parce que celui qui l'aime commettreait une grave injustice.
"Ch’e’ non finava di dìe, né da sera,","Parce que ce n'était pas la fin de la journée, ni le soir,","Parce qu'il ne s'arrêtait ni de jour, ni de nuit."
"Di dar a Gielosia nuovo sconforto,",De donner un nouveau désespoir à la Jalousie,Provoquer le désespoir à la jalousie
Né non diciea giamai parola vera.,Et il ne disait jamais un vrai mot.,Et il ne prononçait jamais une phrase authentique.
Bellacoglienza la parola prese,"Bellaconglienza prit la parole,","Bellaconglienza prit la parole, exorcia."
"E sì rispuose, come ben parlante:","Et il répondit, comme un bien parlant:","Et il répondit, comme un éloquent:"
"«Gientil madonna, i’ vi fo grazie mante","Mademoiselle, je vous remercie beaucoup.","Madame, je vous suis profondément reconnaissant."
Che di vostr’arte mi siete cortese;,Pour votre courtoisie envers moi;,Pour votre gentillesse envers moi.
"Ma ’l fatto de l’amor no•m’è palese,","Mais l'amour n'est pas évident,","Cependant, l'affection n'est pas manifeste."
Se non se in parole trapassante.,Sauf en termes transitoires.,Sauf d'une manière éphémère.
Ched i’ sia   di danar ben procacciante?,Puis-je avoir de l'argent ?,Puis-je être riche en argent ?
"I’ n’ò assai, per farne belle spese.",J'en ai beaucoup pour faire des courses.,J'en ai beaucoup pour faire des achats agréables.
"D’avere in me maniera bella e giente,","Pour avoir une belle apparence et des manières gentilles,","Pour avoir une apparence agréable et des manières aimables,"
"A•cciò vogl’i’ ben metter mia balia,",Je veux attirer mon attention.,Je voudrais attirer mon attention.
In tal maniera che•ssia   sofficiente.,C'est suffisant.,De manière à être approprié.
"Se voi mi parlate di malia,","Si vous me parlez de malia,","Si vous me parlez de sort,"
"Ch’ella non può tornar già cuor di gente,","Que vous ne pouvez pas retourner dans le cœur des gens,","Que vous ne pouvez pas revenir à l'affection des gens,"
"Creda ’l chi vuole, ch’i’ la teng’a•ffollia.","Croyez qui vous voulez, que je vous tiens comme de la folie.","Croyez qui vous voulez, que je vous considère comme de la folie."
"Del bel valetto, che vo’ mi parlate,","Le beau valet que vous m'avez parlé,","Du charmant serviteur que vous m'avez décrit,"
"In cui tanta vertute è riposata,","Dans laquelle il est placé tant de valeur,",Dans lequel il est gardé aussi précieux.
"Sed e’ la s’à, per me gli sia chitata:","Il l'a, pour moi qu'il lui soit accordé:","Il le possède, qu'il lui soit donné pour moi."
"S’i’ l’amo, i’ l’amerò come mi’ frate.","Si je l'aime, je l'aimerai comme mon frère.",J'apprécie. Je le respecterai comme un frère.
"Ma per le gioie, ch’e’ m’à presentate,","Mais pour les plaisirs qu'il m'a présentés,","Pour les plaisirs qu'il m'a offerts,"
La mi’ veduta no•gli fia vietata;,Mon opinion ne lui sera pas interdite;,Mon opinion ne lui sera pas interdite.
"Ma venga il più che puote a la cielata,","Mais qu'il vienne le plus vite possible à la cour,",Let the greatest number possible comme to court.
"E, sed e’ piacie a voi, sì ’l ci menate.","Et si vous l'aimez, emmenez-le-moi.","Si ça vous plaît, conduisez-moi."
"Ma che sia fatto tosto, san’ dimora,","Mais qu'il soit fait tout de suite, sans abri,","Qu'il soit exécuté immédiatement, sans retard,"
Perciò che Gielosia non può sofrire,Pourquoi la jalousie ne peut pas souffrir,Pourquoi la jalousie ne peut pas tolérer
Ched ella stea sanza vedermi un’ora:,De rester sans me voir une heure:,Être séparé pendant une heure.
"Ché molte volte si parte per gire,","Parce que beaucoup de fois il part pour tourner,",Parce qu'il se met souvent en route.
"E ’l Diavol, che di notte in lei lavora,","Et le Diable, qui travaille la nuit chez elle,","Le démon, qui opère la nuit en elle,"
Sì•lla fa mantenente rivenire».,Il la ramène tout de suite.,Il la ramène tout de suite.
"La Vechia sì la va rasicurando,","La vieille en leur rassurant,","La vieille dame en leur rassurant,"
E dicie: «Sopra me lascia la cura,"et dit: ""Laisse-moi m'occuper du remède.","""Et il dit: ""Permettez-moi de prendre soin de moi."""
"Di questo fatto; non aver paura,","de ce fait; n'aie pas peur,",de cet événement; n'ayez pas peur
Chéd io il saprò ben andar cielando.,Parce que je serai capable d'aller me cacher.,Parce que je saurai dissimuler habilement
E gisse Gielosia tuttor ciercando,Et Jalousie s'en alla chercher encore,Et envie est allé chercher encore
"Qua entro, sì seria grande sciagura","Là-dedans, un grand malheur,","Dans ce lieu, une grande catastrophe grave."
"S’ella ’l trovasse, ma i’ son sicura","Si vous la trouviez, je suis sûre.","Si vous le saviez, mais je suis sûre."
Che poco le varria su’ gir   sogniando».,"Si seulement il dormait en rêvant.""",Si seulement elle s'assoyait en rêvant.
"«Dunque potete voi farlo venire,",Alors vous pouvez le faire venir.,"Invoquer, appeler, invoquer."
"Ma’ ched e’ si contegnia come sagio,","mais seulement qu'il se comporte avec sagesse,",Mais il faut agir prudemment.
Ch’e’ non pensasse a•ffar nesun ardire».,Et tu ne penses à rien d'audace.,Et tu ne penses pas à faire quelque chose de téméraire.
"«Figluola mia, e’ non fecie anche oltragio","Ma fille, il n'a fait aucun outrage.","Ma fille, il n'a rien fait."
"I•nessun luogo, ch’i’ udisse dire,","Nulle part, que j'ai entendu dire.","Nulle part, que j'entendais dire."
Ma troppo il loda l’uon di gran vantagio».,Mais trop de louanges à l'homme de grand avantage.,Mais trop exalte l'homme de grande valeur.
Alor sì fecier fine al parlamento.,C'est alors qu'il a mis fin à la conversation.,C'est alors que le débat s'est terminé.
"La Vechia se ne venne al mi’ ostello,","La vieille est venue à mon auberge,",La vieille femme est arrivée à mes quartiers.
"E disse:   «Avrò io sorcotto e mantello,","Et il dit: Je prendrai mon manteau et ma cape,","Et il dit: ""Je prendrai la veste et l'imperméable,"
"Sed i’ t’aporto alcun buon argomento,","Mais je t'apporterai de bonnes nouvelles,",Mais je vais t'annoncer une bonne nouvelle.
Che ti trarrà di questo tuo tormento?».,"qui te délivrera de ce tourment?""","""Qu'est-ce qui t'éloigne de ta souffrance ?"""
"I’ dissi: «Sì, d’un verde fino e bello;","J'ai dit: ""Oui, avec un vert fin et beau,","J'ai dit: ""Oui, avec un vert magnifique et séduisant."
"Ma, sì sacciate, non fia san’ pennello",Mais sachez qu'il ne sera pas sans un pinceau,Mais sachez que ce ne sera pas sans brosse.
"Di grigio, con ogni’altro guernimento».","en gris, avec tous les autres ornements.","d'aspect grisâtre, avec tous les autres ornements."
"D’Amico mi sovenne, che mi disse","Je me suis souvenu d'Ami, qui m'a dit:","Un compagnon m'est venu à l'esprit, qui m'a informé."
"Ched i’ faciesse larga promessione,","pour que je fasse une grande promesse,",pour que je fasse une grande promesse.
"Ma ’l più, ch’i’ posso, il pagar soferisse:",mais de payer autant que possible s'il était nécessaire:,mais de débourser le maximum si nécessaire
Avegnia ch’i’ avea ferma ’ntenzione,Même si j'avais l'intention de le faire.,Même si j'avais l'intention de le faire.
"De dar ben a coste’, s’ella m’aprisse,","de donner beaucoup, s'il m'avait dit",Il aurait pu donner beaucoup s'il m'avait informé.
Che quell’uscisse   fuor della pregione.,qu'il sortirait de prison.,qu'il serait libéré de prison.
"La Vechia disse allor: «Amico mio,","La vieille femme dit alors: ""Mon ami,","La vieille femme dit alors: ""Mon patron,"
"Queste son le novelle, ch’i’   t’aporto:",Voici les nouvelles que je t'apporte:,Voici les informations que je vous transmets:
Bellacoglienza salute e conforto,"Bellacoglienza santé et réconfort,","Accueil, bien-être, et confort."
"Te manda, se m’aiuti l’alto Dio;","Il t'envoie, si tu m'aides le haut Dieu;",Il t'envoie si tu m'aides le Très-Haut.
Sì ch’i’   ti dico ben ched i’   cred’io,Je te dis que je te crois.,Je t'assure que je te crois.
Che•lla tua nave ariverà a tal porto,Que ton bateau arrivera à ce port.,Que ton bateau atteindra ce port
Che•ttu sì coglierai   il Fior dell’orto».,"Que tu attrapes la Fleur du jardin.""",Que tu vas ramasser le Focciolo du jardin.
"Questo motto fu quel, che mi guerio.",Cette devise m'a guéri.,Cet adage m'a rendu malade.
"«Or te dirò, amico, che farai:","Je vais te dire, mec, que vas-tu faire ?","Je vais te dire, camarade, ce que tu vas faire:"
"All’uscio, c’apre verso del giardino,","À la porte qui ouvre vers le jardin,","A la porte qui mène au jardin,"
Ben cheta mente tu te ne verai;,"Ne t'inquiète pas, tu vas t'en aller.","Doucement, tu vas partir."
"Ed i’   sì me ne vo ’l dritto camino,","Et je partirai sur le chemin droit,",Je prendrai le chemin droit.
"E sì farò c’aperto il troverai,",Et je la trouverai ouverte.,Je vais la trouver ouverte.
Sì che•ttu avrai   il Fior in tuo dimino».,Pour que vous ayez la Fleur dans votre garde.,Pour que tu possèdes la Fleur en ta possession.
"La Vechia atanto da me si diparte,",La vieille femme s'éloigna de moi.,La vieille femme s'éloigna de moi.
"E ’l camin ebe tosto passegiato,","Et le chemin fut bientôt parcouru,",Le voyage fut rapidement accompli.
"E quand’i’ fui un poco dimorato,","Et quand j'ai arrêté un peu,","Quand j'ai été arrêté pendant un moment,"
"Verso ’l giardin n’andai   da l’altra parte,","Je suis allé de l'autre côté vers le jardin,",Je me suis dirigé de l'autre côté vers le jardin.
"Pregando Idio, che mi conduca ’n parte,",En priant Dieu de m'emmener du côté,En implorant Dieu de me guider dans la direction
Ch’i’ de mia malatia fosse sanato.,Que ma maladie soit guérie.,Que ma maladie soit guérie.
Aperto l’uscio sì ebi trovato;,J'ai trouvé la porte ouverte;,"Ouvrez la porte, j'ai compris."
Ver è ch’era sochiuso tutto ad arte.,Tout était enfermé dans l'art.,C'était ouvert avec soin.
Co•molto gran paura dentro entrai;,"Avec une très grande peur, je suis entré à l'intérieur;","Avec une immense angoisse, je suis entré à l'intérieur;"
"Ma quand’i’ vidi Malabocca morto,","Mais quand j'ai vu Malabocca mort,","Quand nous avons passé Malabocca décédé,"
Vie men del fatto mio sì mi dottai.,Je me suis senti moins inquiet à propos de ma situation.,Je me suis senti moins anxieux à cause de mon état.
"Amor trovai,   che mi diè gran conforto","J'ai trouvé l'amour, qui m'a donné un grand réconfort.","J'ai trouvé Affetto, qui m'a beaucoup soulagé."
"Co•l’oste sua, e molto m’allegrai","Avec son hospitalité, et je me réjouissais beaucoup","Avec son accueil, et je me réjouissais beaucoup"
"Che ciascun v’era, no•vi trarria corto.","Que tout le monde y était, je ne vais pas vous courtiser.","Que tout le monde était là, je ne vous écourterai pas."
"Com’i’ v’ò detto, a tutto lor podere","Comme je vous l'ai dit, à toute leur ferme","Comme je vous l'ai dit, à toute leur propriété"
Lo Dio d’Amor et la sua Baronia,Dieu d'Amour et sa baronnie,Divinité d'Affectus et sa propriété
"Presti eran tutti a far senn’e follia,","Bientôt, ils étaient prêts à faire de la folie.","Bientôt, ils étaient prêts à faire la folie."
Per aconpiérmi tutto ’l mio volere.,Pour faire tout ce que je veux.,Pour réaliser toute ma volonté.
Allor pensai s’i’ potesse vedere,Alors j'ai pensé que si je pouvais voir,Alors j'ai pensé que j'aurais pu observer.
Dolze-Riguardo per cosa che sia:,Dolze-Regard pour n'importe quoi.,Douce-En ce qui concerne tout.
"Inmantenente Amor a me lo ’nvia,","Tout de suite Amour me l'envoya,","Instinctivement, Affectus me l'a envoyé."
Di che mi fecie molto gran piaciere.,Ça m'a fait beaucoup de plaisir.,Ça m'a vraiment fait plaisir.
"E que’ sì mi mostrò Bellacoglienza,","Et elle m'a montré Bellacoglienza,","Elle m'a montré de la courtoisie, de la gentillesse et de l'affabilité."
"Che ’nmantenente venne a salutarmi,",Il est venu me dire au revoir.,Il est venu me dire bonjour.
E sì mi fecie grande proferenza;,Et il m'a fait grand plaisir;,Ça m'a rendu heureuse.
E po’ sì cominciò a merziarmi,Puis il s'est mis à s'amuser.,Puis il s'est mis à se réjouir.
"Delle mie gioie, di ch’ell’avea voglenza","De mes joies dont il avait le désir,","De mon bonheur, qu'il avait convoité,"
Di quel presente ancor guiderdonarmi.,Il voulait toujours me compenser pour le présent.,Il voulait toujours me récompenser pour le don.
"I’ le dissi: «Madonna, grazie rendo","Je lui ai dit: ""Madame, merci beaucoup.","""Je lui ai dit: ""Madame, merci beaucoup."""
"A voi, quando prender le degniaste,","À vous, pour quand vous avez attrapé,","À vous, pour quand vous avez acquis,"
Ché tanto forte me ne consolaste,Pourquoi m'avez-vous tellement consolé ?,Pourquoi m'avez-vous réconforté si intensément ?
C’a pena mai magior gioia atendo;,Que j'attends à peine une plus grande joie;,Que j'espère juste un plus grand bonheur;
"E, s’i’ l’ò mai, da voi aver l’atendo.","Et si je l'ai, je l'attends de vous.","Et si jamais je l'obtiens, je l'attends de vous."
"Sì c’a me piacie se ciò, che pigliaste,","Pour que je l'aime si ce que vous avez pris,",De sorte qu'il me satisfait si ce que vous avez acquis.
"O la persona mia ancora ingagiaste,",Ou vous vous êtes encore occupés de moi.,Vous avez pris un engagement avec moi.
"O la vendeste, mai non vi contendo».","Ou vous l'avez vendu, je ne vous contredirai pas.""","Ou vous l'avez abandonné, je ne m'y opposerai pas."
Quella mi disse: «Molto gran merzede.,"Elle m'a dit: ""Très grand mérite.","Elle m'a dit: ""Grande reconnaissance."""
"Di me, vi dico, fate ’l somigliante","De moi, je vous le dis, faites ce qu'il mérite.","De moi, je vous le dis, faites ce qu'il faut."
"C’a bene e a onore i’ v’amo, a•ffede».","Que je vous aime avec affection et honneur.""",Que je vous aime avec tendresse et respect.
