input|target
Please tell us when dinner's ready.|Per favore, diteci quando è pronta la cena.
The boy didn't change his opinion.|Il ragazzo non ha cambiato la sua opinione.
This sentence doesn't make sense.|Questa frase non ha senso.
I think your plan is pretty stupid.|Penso che il suo piano sia piuttosto stupido.
Are eggs a good source of protein?|Le uova sono una buona fonte di proteine?
I thought it might be complicated.|Ho pensato che potrebbe essere complicato.
Why don't you answer my messages?|Perché non risponde ai miei messaggi?
Why don't you sing something for me?|Perché non canti qualcosa per me?
You can stay with us for the night.|Potete restare con noi per la notte.
What happens if I press this button?|Cosa succede se premo questo pulsante?
Why did you want to go to Boston?|Perché volevate andare a Boston?
Would you like to buy some lemonade?|Vorreste comprare un po' di limonata?
Ask Tom what he thinks of Australia.|Chiedete a Tom cosa pensa dell'Australia.
I think your plan is too ambitious.|Penso che il vostro piano sia troppo ambizioso.
Tom is a very intelligent person.|Tom è una persona molto intelligente.
Tom is always doing that, isn't he?|Tom lo fa sempre, vero?
You don't need to worry about Tom.|Non deve preoccuparsi per Tom.
Tom promised me he wouldn't do that.|Tom mi ha promesso che non lo avrebbe fatto.
Can you tell me where to find Tom?|Mi può dire dove trovare Tom?
Tom is very interested in biology.|Tom è molto interessato alla biologia.
What'll you give Tom for Christmas?|Cosa darai a Tom per Natale?
I have a lot of things to tell you.|Ho molte cose da dirvi.
I'd like to go to Boston someday.|A me piacerebbe andare a Boston un giorno.
Tom wants me to be his girlfriend.|Tom vuole che io sia la sua fidanzata.
Is there room for me in your car?|C'è spazio per me nella sua auto?
You're a jazz musician, aren't you?|Lei è una musicista jazz, vero?
Will you tell me why you like her?|Mi direte perché vi piace?
When will you get ready to leave?|Quando sarà pronto a partire?
Why do I have to worry about you?|Perché mi devo preoccupare per voi?
Why don't you want me to help you?|Perché non volete che vi aiuti?
I spent a lot of time in Australia.|Ho passato molto tempo in Australia.
I expected Tom to do that yesterday.|Mi aspettavo che Tom lo facesse ieri.
Tom talked to me about that already.|Tom mi ha già parlato a riguardo.
Do you really think Tom is handsome?|Pensa veramente che Tom sia bello?
Tom and I didn't know what to do.|Io e Tom non sapevamo cosa fare.
Tom likes things the way they are.|A Tom piacciono le cose così come sono.
Did you eat anything this morning?|Avete mangiato qualcosa stamattina?
I take it you're our new neighbor.|Immagino che tu sia il nostro nuovo vicino.
Tom is better at cooking than me.|Tom è più bravo di me a cucinare.
Do you consider yourself religious?|Tu ti consideri religioso?
Tom doesn't have to worry about it.|Tom non deve preoccuparsene.
I feel uncomfortable in this chair.|Io mi sento scomodo su questa sedia.
I've never seen you laugh before.|Non ti ho mai visto ridere prima.
Malaria is carried by mosquitoes.|La malaria è causata dalle zanzare.
I haven't seen my family since 2013.|Non vedo la mia famiglia dal 2013.
Shut up! You're talking too much.|Stai zitto! Stai parlando troppo.
Tom doesn't even know how to add.|Tom non sa nemmeno fare le addizioni.
The boy didn't change his opinion.|Il ragazzo non cambiò la sua opinione.
Please tell us about your family.|Per favore, ci dica della sua famiglia.
Tom is starting to get dinner ready.|Tom sta iniziando a preparare la cena.
She came to Japan to study Japanese.|È venuta in Giappone per studiare il giapponese.
You'll find a solution, I'm sure.|Troverà una soluzione, ne sono sicuro.
The price is three hundred dollars.|Il prezzo è trecento dollari.
I'm too tired to help you do that.|Sono troppo stanco per aiutarti a farlo.
If I see Tom, I'll tell him that.|Se vedo Tom, glielo dirò.
Why are you giving me this money?|Perché mi state dando questo denaro?
All Tom wanted was some free time.|Tutto ciò che voleva Tom era un po' di tempo libero.
Tom is clearly attracted to Mary.|Tom è chiaramente attratto da Mary.
You should go to mass more often.|Lei dovrebbe andare a messa più spesso.
Tom and Mary said they were tired.|Tom e Mary dissero di essere stanchi.
It is used by a great many people.|È usata da moltissima gente.
She advised him to go to the police.|Gli consigliò di andare dalla polizia.
You can't go to Boston this weekend.|Voi non potete andare a Boston questo fine settimana.
What's your favorite Disney movie?|Qual è il tuo film Disney preferito?
A team is composed of eleven players.|Una squadra è composta da undici giocatori.
Tom likes listening to Mary sing.|A Tom piace sentire cantare Mary.
When is Tom going to go to Boston?|Tom quando andrà a Boston?
I usually get up at eight o'clock.|Io di solito mi alzo alle otto.
Tom sat on the couch next to Mary.|Tom sedeva sul divano accanto a Mary.
My grades at school have gone up.|I miei voti a scuola sono migliorati.
It takes courage to do such a thing.|Ci vuole del coraggio a fare una cosa del genere.
I'd like to have a glass of wine.|Io vorrei un bicchiere di vino.
We went out for a pizza last night.|Siamo uscite per mangiare una pizza ieri sera.
Tom has maintained his innocence.|Tom ha mantenuto la sua innocenza.
I'm not surprised that Tom did that.|Non sono sorpresa che Tom lo abbia fatto.
Would you like anything to drink?|Vorreste qualcosa da bere?
I haven't told anyone, not even Tom.|Non l'ho detto a nessuno, nemmeno a Tom.
I thought that it would be romantic.|Pensavo che sarebbe stato romantico.
Why is all of this happening to me?|Perché tutto questo sta capitando a me?
You'll never be able to find Tom.|Non sarai mai in grado di trovare Tom.
Tom seemed to have lots of friends.|Tom sembrava avere molti amici.
I don't blame you for what you did.|Non ti biasimo per ciò che hai fatto.
Tom just doesn't know what to do.|Tom non sa davvero che fare.
I've always been honest with you.|Io sono sempre stata onesta con lei.
I suspect Tom will have to do that.|Sospetto che Tom lo dovrà fare.
There is no rule without exceptions.|Non c'è regola senza eccezioni.
There's only one window in my room.|C'è solamente una finestra nella mia camera.
The room will be painted tomorrow.|La camera sarà dipinta domani.
Tom would never leave Mary alone.|Tom non lascerebbe mai Mary da sola.
She's a professional photographer.|È una fotografa professionista.
I didn't actually see Tom kiss Mary.|In realtà non ho visto Mary.
It has been raining since Tuesday.|Sta piovendo da martedì.
Where's the nearest train station?|Dove si trova la stazione ferroviaria più vicina?
Tom is going to keep us informed.|Tom ci terrà informate.
Did you actually see the accident?|Avete effettivamente visto l'incidente?
Mary has a red ribbon in her hair.|Mary ha un nastro rosso nei capelli.
It's impolite to stare at people.|È maleducato fissare la gente.
I looked for the book for an hour.|Io ho cercato il libro per un'ora.
The sign indicates the way to go.|Il cartello indica il percorso da seguire.
Almost everyone believed the rumor.|Quasi tutta la gente credeva alla voce.
My brother has a gift for painting.|Mio fratello è dotato per la pittura.
What are you studying this semester?|Cosa sta studiando questo semestre?
He killed himself by taking poison.|Lui si è ucciso con del veleno.
Tom taught me how to play billiards.|Tom mi ha insegnato a giocare a biliardo.
Why do you think that Tom resigned?|Perché pensate che Tom abbia dato le dimissioni?
We've made way too many mistakes.|Abbiamo commesso decisamente troppi errori.
Tom is still a very athletic guy.|Tom è ancora un tizio molto atletico.
There was a broken cup on the table.|C'era una tazza rotta sulla tavola.
When was the last time you saw Tom?|Quand'è stata l'ultima volta che avete visto Tom?
Tom was not able to quit smoking.|Tom non era in grado di smettere di fumare.
That's the reason we have to leave.|Quella è la ragione per la quale dobbiamo andare.
Tom got bored after three minutes.|Tom si annoiò dopo tre minuti.
Would you like to be my apprentice?|Vorrebbe essere il mio apprendista?
I don't want to be friends with you.|Io non voglio essere vostro amico.
Tom told me that he was positive.|Tom mi ha detto che era positivo.
Hurry up! The concert is starting.|Sbrigatevi! Il concerto sta iniziando.
Tom is going to make some changes.|Tom farà qualche cambiamento.
Can you provide us with references?|Può fornirci dei riferimenti?
I couldn't see any stars in the sky.|Io non riuscivo a vedere alcuna stella in cielo.
Tom is very groggy and disoriented.|Tom è molto intontito e disorientato.
I've never been happier in my life.|Io non sono mai stata più felice in vita mia.
Tom doesn't know the whole story.|Tom non sa tutta la storia.
Would you tell Tom that Mary phoned?|Direbbe a Tom che Mary ha telefonato?
When did you translate this letter?|Quando hai tradotto questa lettera?
Aren't you busy tomorrow afternoon?|Non sei occupato domani pomeriggio?
The lake was adjacent to his house.|Il lago era adiacente alla sua casa.
Tom is supposed to be here by now.|Tom dovrebbe essere qui ormai.
I asked Tom to talk to his parents.|Ho chiesto a Tom di parlare con i suoi genitori.
She was afraid of waking the baby.|Temeva di svegliare il bebè.
Money is not a criterion of success.|Il denaro non è un criterio di successo.
My cousin is already four years old.|Mia cugina ha già quattro anni.
I don't have anything to say to Tom.|Io non ho nulla da dire a Tom.
You should acknowledge your failure.|Dovrebbe riconoscere il suo fallimento.
Tom noticed something on the floor.|Tom notò qualcosa sul pavimento.
She told us an interesting story.|Ci raccontò una storia interessante.
Why were you in Boston last week?|Perché eravate a Boston la settimana scorsa?
Tom still wants to do that someday.|Tom vuole ancora farlo un giorno.
I have a lot more books than you do.|Ho molti più libri di lei.
I'm unable to answer that question.|Io non sono in grado di rispondere a quella domanda.
You could at least take a shower.|Poteva almeno farsi una doccia.
Do you want to go shopping with me?|Vuole andare a fare shopping con me?
It sounds strange, but it's true.|Sembra strano, però è vero.
Don't take yourself too seriously.|Non ti prendere troppo seriamente.
Tom found a nice apartment for me.|Tom ha trovato un bell'appartamento per me.
I'm dying to know what you think.|Sto morendo dalla voglia di sapere cosa ne pensa.
Where in Australia did you grow up?|Dove siete cresciuti in Australia?
I did my best to keep you out of it.|Ho fatto del mio meglio per tenervene fuori.
I've done nothing to be ashamed of.|Non ho fatto niente di cui vergognarmi.
Tom is still at Harvard, isn't he?|Tom è ancora ad Harvard, vero?
Tom has to go to a funeral today.|Tom deve andare a un funerale oggi.
I'm starting to feel sorry for Tom.|Sto iniziando a sentirmi dispiaciuto per Tom.
I know Tom doesn't want to be here.|So che Tom non vuole essere qua.
I'm probably the one who'll do that.|Probabilmente sarò colei che lo farà.
Do we have to tell Tom everything?|Dobbiamo dire tutto a Tom?
Can you justify the use of violence?|Puoi giustificare l'utilizzo della violenza?
What can you tell us about Boston?|Cosa puoi dirci di Boston?
Something's wrong with my e-mail.|C'è qualcosa che non va con la mia e-mail.
Tom helped Mary carry her suitcases.|Tom ha aiutato Mary a portare le sue valigie.
When did you translate this letter?|Quando avete tradotto questa lettera?
May I have your attention, please?|Posso avere la vostra attenzione, per favore?
Tom was happy working in the garden.|Tom era felice di lavorare in giardino.
What brand of shampoo do you use?|Che marchio di shampoo usa?
You should be careful with a knife.|Dovrebbe fare attenzione con un coltello.
Tom told me how to get to his house.|Tom mi disse come arrivare a casa sua.
Let's solve this problem together.|Risolviamo questo problema insieme.
Why are you trying to lose weight?|Perché state provando a perdere peso?
Tom said that he wasn't in Boston.|Tom ha detto che non era a Boston.
Tom helps whoever asks him for help.|Tom aiuta chiunque gli chieda aiuto.
I saw my reflection in the window.|Vidi il mio riflesso nella finestra.
I had no idea that you were there.|Non avevo idea che fosse lì.
Why don't you like living in Boston?|Perché non le piace vivere a Boston?
How many glasses are on the table?|Quanti bicchieri ci sono sul tavolo?
Tom really admired Mary's courage.|Tom ammirava davvero il coraggio di Mary.
Call me up at seven in the morning.|Svegliatemi alle sette di mattina.
There is a bus stop down the road.|C'è una fermata dell'autobus lungo la strada.
Did you have a good time yesterday?|Ti sei divertita ieri?
There were no radios in those days.|Non c'erano radio a quei tempi.
Tom is aggressive, but Mary isn't.|Tom è aggressivo, però Mary non lo è.
I'm going to teach you some karate.|Ti insegnerò un po' di karate.
Tom acted as if he didn't know Mary.|Tom agì come se non conoscesse Mary.
I'm worried that Tom will get lost.|Sono preoccupato per il fatto che Tom si perderà.
Would you like another cup of tea?|Vuoi un'altra tazza di tè?
Everyone will be home at Christmas.|Tutti saranno a casa a Natale.
What kind of computer does Tom use?|Che tipo di computer usa Tom?
Tell me something that'll help me.|Ditemi qualcosa che mi aiuterà.
It seems to me that you are honest.|Mi sembra che lei sia onesta.
I want to learn to shoot like you.|Voglio imparare a sparare come voi.
Everyone except Tom is already here.|Tutti tranne Tom sono già qui.
Tom is going back home, isn't he?|Tom sta tornando a casa, vero?
Tom is a very good basketball coach.|Tom è un allenatore di basket molto bravo.
My friend was arrested for speeding.|La mia amica è stata arrestata per eccesso di velocità.
You can eat lunch here in this room.|Potete pranzare qui in questa stanza.
What am I going to do without Tom?|Io che cosa farò senza Tom?
How dare you talk to me like that!|Come osate parlarmi così!
How do you know that I didn't do it?|Come sa che non l'ho fatto?
Tom saw Mary heading into the woods.|Tom ha visto Mary dirigersi nel bosco.
Tom is becoming more sophisticated.|Tom sta diventando più sofisticato.
What are you studying this semester?|Cosa stai studiando questo semestre?
Tom asked Mary where her mother was.|Tom ha chiesto a Mary dove fosse sua madre.
I bought a wonderful watch for her.|Comprai un magnifico orologio per lei.
Tom works at a fast-food restaurant.|Tom lavora in un ristorante fast food.
I'm not going to complain anymore.|Io non mi lamenterò più.
I don't speak French all that well.|Io non parlo in francese così bene.
I don't know what you want from me.|Non so che cosa volete da me.
Tom wants to do that this morning.|Tom lo vuole fare stamattina.
Why don't you just quit doing that?|Perché semplicemente non smette di farlo?
Many students have failed the test.|Molti studenti sono stati bocciati all'esame.
Won't you spend Christmas with Tom?|Non trascorrerà Natale con Tom?
May I read the rest of the will now?|Posso leggere il resto del testamento ora?
Tom, I want to have a chat with you.|Tom, voglio fare una chiacchierata con te.
I think Tom knows what he's doing.|Penso che Tom sappia cosa sta facendo.
Tom helped Mary take off her jacket.|Tom aiutò Mary a togliersi la giacca.
I fell asleep while I was driving.|Mi sono addormentato mentre stavo guidando.
This should solve all your problems.|Questo dovrebbe risolvere tutti i tuoi problemi.
She passed away yesterday afternoon.|Lei è deceduta ieri pomeriggio.
Watching movies is very interesting.|Guardare film è molto interessante.
She's two years younger than him.|Lei ha due anni in meno di lui.
Tom knows Mary doesn't like that.|Tom sa che a Mary non piace.
The general inspected the troops.|Il generale ha controllato le truppe.
Tom collapsed because of the heat.|Tom è collassato per via del caldo.
The project wasn't finished on time.|Il progetto non è stato finito in tempo.
The museum isn't open on Sundays.|Il museo non è aperto la domenica.
I know that Tom is a powerful man.|So che Tom è un uomo potente.
Our school is larger than theirs.|La nostra scuola è più grande della loro.
Do you plan to go to Boston by bus?|Voi avete intenzione di andare a Boston in autobus?
I'm turning into a snob, I think.|Mi sto trasformando in uno snob, penso.
These are very competitive prices.|Questi sono prezzi molto competitivi.
May I have a glass of milk, please?|Posso avere un bicchiere di latte, per favore?
That's not something Tom would do.|Non è qualcosa che Tom farebbe.
I am married and have two children.|Sono sposata e ho due bambini.
What do you do in your spare time?|Cosa fai nel tempo libero?
I haven't yet finished my homework.|Io non ho ancora finito i miei compiti.
Tom should go to Boston with you.|Tom dovrebbe andare a Boston con voi.
Tom hates it when Mary does that.|Tom odia quando Mary lo fa.
Tom's sister is taller than mine.|La sorella di Tom è più alta della mia.
Tom deserves to know what happened.|Tom se lo merita di sapere che cos'è successo.
Don't blame Tom for what Mary did.|Non incolpi Tom per quel che ha fatto Mary.
Tom is easy to talk to, isn't he?|È facile parlare con Tom, vero?
When are you returning to Boston?|Quando ritorna a Boston?
Why will you not listen to reason?|Perché non ascolterà la ragione?
We have a lot of work ahead of us.|Abbiamo un sacco di lavoro davanti a noi.
Tom is in the hospital waiting room.|Tom è nella sala d'attesa dell'ospedale.
I want you home in time for dinner.|Ti voglio a casa in orario per cena.
Tom doesn't have to help me anymore.|Tom non mi deve più aiutare.
I have a younger sister named Mary.|Ho una sorella minore chiamata Mary.
This is the hospital I was born in.|Questo è l'ospedale in cui sono nato.
Why would Tom want to work for Mary?|Perché Tom vorrebbe lavorare per Mary?
Tell Tom that I don't need his help.|Dite a Tom che io non ho bisogno del suo aiuto.
I'm really disappointed in you, Tom.|Sono davvero delusa da te, Tom.
Dr. Jackson performed the operation.|Il dottor Jackson ha eseguito l'operazione.
I really want to come to Australia.|Voglio veramente venire in Australia.
That would be a total waste of time.|Sarebbe una perdita di tempo totale.
You'd like to help, wouldn't you?|Vorreste aiutare, vero?
Do you want me to explain it to you?|Vuole che gliela spieghi?
I can't believe Tom has really gone.|Io non riesco a credere che Tom se ne sia andato davvero.
He mistook me for my twin brother.|Mi scambiò per il mio fratello gemello.
There's more money in the drawer.|C'è altro denaro nel cassetto.
Did you go to the market yesterday?|È andata al mercato ieri?
You'll do that with Tom, won't you?|Lo farete con Tom, vero?
Why do you need this information?|Perché ti serve questa informazione?
I know you don't want to hurt Tom.|Lo so che voi non volevate ferire Tom.
A rose's petals are very delicate.|I petali di una rosa sono molto delicati.
There is no answer to your question.|Non c'è nessuna risposta per la sua domanda.
Tom is the team leader, isn't he?|Tom è il leader della squadra, vero?
I don't play golf so much anymore.|Io non gioco più così tanto a golf.
Were Tom and Mary speaking French?|Tom e Mary stavano parlando in francese?
Tom waited for Mary to come home.|Tom aspettò che Mary venisse a casa.
Tom says he won't come to our party.|Tom dice che non verrà alla nostra festa.
I'd like to be as rich as Tom is.|A me piacerebbe essere ricca come Tom.
I'm in love with Tom's girlfriend.|Sono innamorata della ragazza di Tom.
They were all friends as children.|Loro erano tutti amici da bambini.
Why don't you want to wear a tie?|Perché non volete indossare una cravatta?
Everyone looked relaxed and happy.|Sembravano tutti rilassati e felici.
I don't completely agree with you.|Io non sono completamente d'accordo con voi.
What will losing the war mean to us?|Cosa significherà per noi perdere la guerra?
You're in love with Tom, aren't you?|Tu sei innamorato di Tom, vero?
It cost you a fortune, didn't it?|Ti è costata una fortuna, vero?
I know that Tom is a good teacher.|So che Tom è un bravo insegnante.
Mary was my first real girlfriend.|Mary fu la mia prima vera ragazza.
Correct my spelling if it's wrong.|Correggi la mia ortografia se è sbagliata.
I don't like this neighborhood much.|Non mi piace molto questo quartiere.
Tom is considering going to Boston.|Tom sta prendendo in considerazione l'idea di andare a Boston.
Use a strainer to drain the pasta.|Utilizzi uno scolapasta per scolare la pasta.
You haven't told me about Tom yet.|Non mi avete ancora detto di Tom.
Translate this book into English.|Traduci questo libro in inglese.
Could you bring me something to eat?|Mi porterebbe qualcosa da mangiare?
I didn't mean to interrupt anything.|Io non avevo intenzione di interrompere niente.
Are you going to the concert tonight?|Voi andate al concerto questa sera?
There is nothing to apologize for.|Non c'è nulla per cui scusarsi.
Aren't you going to go talk to Tom?|Non parlerai con Tom?
Tom and Mary named their baby John.|Tom e Mary hanno chiamato il loro figlio John.
Unfortunately, that didn't happen.|Sfortunatamente, non è capitato.
My grandmother can cook very well.|Mia nonna sa cucinare molto bene.
Tom has pledged to do that already.|Tom ha già promesso di farlo.
There's nothing else I want to do.|Non c'è null'altro che voglio fare.
Why doesn't he play with me anymore?|Perché non gioca più con me?
Tell me why you want to go there.|Ditemi perché non volete andarci.
It was very cold, but I went out.|Faceva molto freddo, però sono uscita.
Tom was as impatient as Mary was.|Tom era impaziente tanto quanto Mary.
He was the champion for three years.|È stato il campione per tre anni.
It's about time you went to school.|È giunto il momento per te di andare a scuola.
You seem to be afraid to do that.|Sembri avere paura di farlo.
I went to Disneyland with my mother.|Sono andata a Disneyland con mia madre.
This isn't for sale at any price.|Questo non è in vendita ad alcun prezzo.
Tom doesn't like to repeat himself.|A Tom non piace ripetersi.
Tom doesn't want to go to church.|Tom non vuole andare in chiesa.
He gave me a smile of recognition.|Lui mi fece un sorriso di riconoscimento.
He read a passage from Shakespeare.|Lui ha letto un passaggio di Shakespeare.
What would the world do without tea?|Che farebbe il mondo senza tè?
The police will put you in prison.|La polizia la metterà in prigione.
Tom knows how much you love Mary.|Tom sa quanto ama Mary.
I think that I've lost my umbrella.|Penso di aver perso il mio ombrello.
This problem is a real challenge.|Questo problema è una vera sfida.
Tom thought I was Mary's boyfriend.|Tom pensava che io fossi il moroso di Mary.
Tom will give you another chance.|Tom vi darà un'altra opportunità.
I'm still studying French with Tom.|Io sto ancora studiando il francese con Tom.
Tom knows that he has to do that.|Tom sa che deve farlo.
Days are beginning to get shorter.|Le giornate cominciano ad accorciarsi.
Our shop will be closed on Monday.|Il nostro negozio sarà chiuso lunedì.
Where have you put all the spoons?|Dove hai messo tutti i cucchiai?
They are very popular among boys.|Loro sono molto popolari tra i ragazzi.
Tom gave me a box full of apples.|Tom mi ha dato una scatola piena di mele.
Are there many animals in the zoo?|Ci sono molti animali nello zoo?
I believe you did the right thing.|Credo che abbiate fatto la cosa giusta.
Tom woke up with a pain in his side.|Tom si svegliò con un dolore nel fianco.
He is able to speak ten languages.|Lui è capace di parlare dieci lingue.
Why would anyone do that on purpose?|Perché qualcuno dovrebbe farlo apposta?
How long has Tom been working here?|Da quanto lavora qui Tom?
Why did you come here this morning?|Perché è venuta qui questa mattina?
What kind of problems does Tom have?|Che tipo di problemi ha Tom?
Why do you want to stop doing that?|Perché volete smettere di farlo?
I'm sure they're talking about us.|Io sono sicuro che stanno parlando di noi.
I didn't understand your question.|Non ho capito la tua domanda.
Let's solve this problem together.|Risolviamo questo problema assieme.
Tom has a lot of books in his room.|Tom ha un sacco di libri nella sua stanza.
I cannot understand what happened.|Non riesco a capire cosa è successo.
Did you find anything of interest?|Ha trovato qualcosa di interessante?
Breakfast is served between 7 and 9.|La colazione è servita fra le sette e le nove.
Be careful. The floor is slippery.|Fai attenzione. Il pavimento è scivoloso.
How important is your family to you?|Quanto è importante la vostra famiglia per voi?
There's no need to worry about me.|Non c'è bisogno di preoccuparsi per me.
We had to drive slowly all the way.|Abbiamo dovuto guidare lentamente fino in fondo.
She put me in a delicate situation.|Lei mi mise in una situazione delicata.
Tom's dream is to live in Australia.|Il sogno di Tom è vivere in Australia.
When did you arrive in Australia?|Quand'è arrivato in Australia?
Tom is not that different from us.|Tom non è così diverso da noi.
Tom lacks experience, doesn't he?|A Tom manca esperienza, non è vero?
Tom doesn't want to discourage Mary.|Tom non vuole scoraggiare Mary.
A laptop is better than a desktop.|Un portatile è meglio di un PC fisso.
He can't even float let alone swim.|Lui non riesce neppure a stare a galla, figuriamoci nuotare.
I noticed Tom's feet weren't clean.|Ho notato che i piedi di Tom non erano puliti.
Is there room for me in your car?|C'è spazio per me nella vostra automobile?
Are you sure you don't want anything?|È sicuro di non volere nulla?
I wonder what Tom is planning to do.|Mi chiedo che cosa abbia intenzione di fare Tom.
The cat is playing with the ball.|Il gatto sta giocando con la palla.
There is no objection on my part.|Non ci sono obiezioni da parte mia.
Do I look beautiful in this dress?|Sono bello con questo vestito?
John met Mary on his way to school.|John incontrò Mary mentre andava a scuola.
How do you know that I didn't do it?|Come sa che non l'ho fatta?
Tom's brothers are still in jail.|I fratelli di Tom sono ancora in carcere.
Beef is more expensive than chicken.|Il manzo è più costoso del pollo.
The walls were painted light brown.|Le pareti erano pitturate di marrone chiaro.
Why don't we talk about this now?|Perché non parliamo di questo ora?
Which shoes are you going to put on?|Quali scarpe si metterà?
Few students know how to read Latin.|Pochi studenti sanno leggere il latino.
My mother bakes bread every morning.|Mia madre fa il pane ogni mattina.
Tom is out of his mind, isn't he?|Tom è fuori di testa, vero?
Tom is an engineer now, isn't he?|Tom è un ingegnere adesso, vero?
What's your favorite breed of dog?|Qual è la tua razza canina preferita?
I think that Tom won't be surprised.|Io penso che Tom non sarà sorpreso.
Tom and I might do that together.|Io e Tom lo potremmo fare insieme.
This painting isn't complete yet.|Questo dipinto non è ancora completo.
She's looking for a place to live.|Lei sta cercando un posto in cui vivere.
The lake was adjacent to his house.|Il lago era attiguo alla sua casa.
Open the door and let the dog in.|Apri la porta e fai entrare il cane.
She was tired, but she kept working.|Era stanca ma continuò a lavorare.
I wonder when I'll wake up tomorrow.|Mi chiedo quando mi sveglierò domani.
How did you make a living in Tokyo?|Voi come vi guadagnavate da vivere a Tokyo?
Tom says that he's good at cooking.|Tom dice che è bravo a cucinare.
The train was crowded with people.|Il treno era affollato di gente.
Tom and Mary each took one cookie.|Tom e Mary presero un biscotto a testa.
Are you ready to hear the bad news?|Siete pronti a sentire le cattive notizie?
Tom helped me find a place to live.|Tom mi ha aiutata a trovare un posto in cui vivere.
I know Tom talks about Mary a lot.|So che Tom parla molto di Mary.
I just have one other thing to do.|Io ho solo un'altra cosa da fare.
Tom and Mary have a cute daughter.|Tom e Mary hanno una figlia bella.
You seem to have it all figured out.|Vi sembra di avere capito tutto.
I think that Tom is still homesick.|Io penso che Tom abbia ancora nostalgia di casa.
Do you often read books in French?|Leggete spesso dei libri in francese?
Tom was dumped by his girlfriend.|Tom fu scaricato dalla sua ragazza.
I'm going to the concert tomorrow.|Vado al concerto domani.
Tom says he feels a little better.|Tom dice di sentirsi un po' meglio.
Tom is upstairs with the children.|Tom è di sopra con i bambini.
Tom tried to show Mary how to do it.|Tom ha cercato di mostrare a Mary come farlo.
Just so you know, I'm an FBI agent.|Giusto per farvi sapere, sono un agente dell'FBI.
I know exactly what I'm going to do.|So esattamente cosa farò.
I think I might be able to do that.|Penso che potrei essere in grado di farlo.
She was very proud of her father.|Lei era molto fiera di suo padre.
Tom is quite often late for school.|Tom è piuttosto spesso in ritardo per la scuola.
Are you for or against the project?|Voi siete pro o contro il progetto?
Can you tell me why Tom isn't here?|Mi puoi dire perché Tom non è qua?
I'm sure Tom has a lot to tell you.|Sono sicuro che Tom ha molto da dirti.
Why don't you take your bath now?|Perché non fate il vostro bagno ora?
I've always been good with my hands.|Io sono sempre stato bravo con le mie mani.
You shouldn't drink stagnant water.|Non si dovrebbe bere l'acqua stagnante.
I want to help you to study French.|Ti voglio aiutare a studiare il francese.
I heard that Tom went to Australia.|Ho sentito che Tom è andato in Australia.
Tom would've been very proud of you.|Tom sarebbe stato molto fiero di lei.
Why do you only watch horror movies?|Perché guarda solamente i film dell'orrore?
I must take something for my cold.|Devo prendere qualcosa per il mio raffreddore.
I'd like to learn to play the harp.|Mi piacerebbe imparare a suonare l'arpa.
I have to repair the refrigerator.|Devo riparare il frigo.
Bring me a sheet of paper, please.|Mi porti un foglio di carta, per favore.
I told you to be home by midnight.|Vi dissi di essere a casa entro mezzanotte.
Even angels can't satisfy everyone.|Neanche gli angeli possono soddisfare tutti.
They don't want to get out of bed.|Loro non vogliono alzarsi dal letto.
Tom is standing right next to Mary.|Tom è in piedi proprio accanto a Mary.
What were your impressions of it?|Quali erano le sue impressioni a riguardo?
Are you going to the concert tonight?|Andate al concerto stasera?
The exhibition was very impressive.|La mostra era molto impressionante.
I want a word with you in my office.|Voglio scambiare due parole con voi nel mio ufficio.
You talk as if you knew everything.|Parli come se sapessi tutto.
I'd like to ask you a few questions.|Vorrei farvi qualche domanda.
You don't have to go there today.|Non dovete andare là oggi.
Shall I give you something to read?|Posso darle qualcosa da leggere?
The prisoner escaped from prison.|Il prigioniero è scappato dalla prigione.
Waiter, please bring me some water.|Cameriere, mi porti un po' d'acqua, per piacere.
Have you ever studied archaeology?|Ha mai studiato archeologia?
I came to Boston to look for work.|Sono venuto a Boston per cercare lavoro.
What's Christmas like at your house?|Com'è il Natale a casa tua?
I should go to Australia next month.|Dovrei andare in Australia il mese prossimo.
I've already told you everything.|Vi ho già detto tutto.
What happened next was a mystery.|Quello che successe dopo fu un mistero.
I've already told Tom what you did.|Io ho già detto a Tom quello che hai fatto.
She advised him to go to the police.|Lei gli ha consigliato di andare dalla polizia.
That could solve a lot of problems.|Quello potrebbe risolvere molti problemi.
Tom is waiting for you, isn't he?|Tom vi sta aspettando, vero?
Why don't you do that more often?|Perché non lo fai più spesso?
Do you have any idea where we are?|Hai un'idea su dove siamo?
You've read the report, haven't you?|Lei ha letto il rapporto, vero?
Everybody came to the class on time.|Tutti sono arrivati in classe in tempo.
Do you want to go fishing with me?|Lei vuole andare a pescare con me?
The doctor started to examine her.|Il dottore cominciò a esaminarla.
I'm sorry, but I really have to go.|Mi dispiace, però devo davvero andare.
I wish that I hadn't taken the bus.|Vorrei non aver preso l'autobus.
I wish I were in Boston right now.|Io vorrei essere a Boston in questo momento.
Tom owes Mary three hundred dollars.|Tom deve trecento dollari a Mary.
Something tells me I should say no.|Qualcosa mi dice che dovrei dire di no.
Why do you think this is happening?|Perché pensa che questo stia accadendo?
What did Tom give you for Christmas?|Cosa vi ha dato Tom per Natale?
Could you please repeat it slowly?|Potrebbe ripeterlo lentamente, per favore?
I told you it was a waste of time.|Vi ho detto che era una perdita di tempo.
Tom is dressed completely in black.|Tom è completamente vestito di nero.
